title,url,photo,content,score,quote,id
肖申克的救赎?/?The Shawshank Redemption?/?月黑高飞(港)  /  刺激1995(台),https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p480747492.jpg,导演:弗兰克·德拉邦特FrankDarabont???主演:蒂姆·罗宾斯TimRobbins/...1994?/?美国?/?犯罪剧情,9.6,希望让人自由。,1
无间道?/?無間道?/?Infernal Affairs  /  Mou gaan dou,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2233971046.jpg,导演:刘伟强/麦兆辉???主演:刘德华/梁朝伟/黄秋生2002?/?香港?/?剧情犯罪悬疑,9.0,香港电影史上永不过时的杰作。,24
当幸福来敲门?/?The Pursuit of Happyness?/?寻找快乐的故事(港)  /  追求快乐,https://movie.douban.com/subject/1849031/,https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1312700628.jpg,导演:加布里尔·穆奇诺GabrieleMuccino???主演:威尔·史密斯WillSmith...2006?/?美国?/?剧情传记家庭,8.9,平民励志片。 ,22
触不可及?/?Intouchables?/?闪亮人生(港)  /  逆转人生(台),https://movie.douban.com/subject/6786002/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1454261925.jpg,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano???主...2011?/?法国?/?剧情喜剧,9.1,满满温情的高雅喜剧。,21
天堂电影院?/?Nuovo Cinema Paradiso?/?星光伴我心(港)  /  新天堂乐园(台),https://movie.douban.com/subject/1291828/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1910901025.jpg,导演:朱塞佩·托纳多雷GiuseppeTornatore???主演:安东娜拉·塔莉Antonel...1988?/?意大利法国?/?剧情爱情,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,20
乱世佳人?/?Gone with the Wind?/?飘,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1963126880.jpg,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor???主演:托...1939?/?美国?/?剧情历史爱情战争,9.2,Tomorrow is another day.,19
楚门的世界?/?The Truman Show?/?真人Show(港)  /  真人戏,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p479682972.jpg,导演:彼得·威尔PeterWeir???主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998?/?美国?/?剧情科幻,9.1,如果再也不能见到你，祝你早安，午安，晚安。,18
龙猫?/?となりのトトロ?/?邻家的豆豆龙  /  隔壁的特特罗,https://movie.douban.com/subject/1291560/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p456668316.jpg,导演:宫崎骏HayaoMiyazaki???主演:日高法子NorikoHidaka/坂本千夏Ch...1988?/?日本?/?儿童动画奇幻家庭,9.1,人人心中都有个龙猫，童年就永远不会消失。,17
教父?/?The Godfather?/?Mario Puzo's The Godfather,https://movie.douban.com/subject/1291841/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2190556185.jpg,导演:弗朗西斯·福特·科波拉FrancisFordCoppola???主演:马龙·白兰度M...1972?/?美国?/?剧情犯罪,9.2,千万不要记恨你的对手，这样会让你失去理智。,16
大话西游之大圣娶亲?/?西遊記大結局之仙履奇緣?/?西游记完结篇仙履奇缘  /  齐天大圣西游记,https://movie.douban.com/subject/1292213/,https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2455050536.jpg,导演:刘镇伟JeffreyLau???主演:周星驰StephenChow/吴孟达ManTatNg...1995?/?香港中国大陆?/?动作冒险喜剧奇幻爱情,9.2,一生所爱。,15
